Kline open time,Open price,high,low,close,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,timestamp,short_ma,long_ma,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr,signal,position
2024-11-30 00:00:00-03:00,579276.0,582414.0,578108.0,578352.0,11.32456,2024-11-30 03:59:59.999000-03:00,6571487.98982,3037,4.72566,2741901.21478,2024-11-30 00:00:00-03:00,,,,,,,,,,0,
2024-11-30 04:00:00-03:00,578520.0,580887.0,576601.0,576816.0,12.69232,2024-11-30 07:59:59.999000-03:00,7350187.88145,2870,6.23828,3613704.26491,2024-11-30 04:00:00-03:00,,,,,,,,,,0,0.0
2024-11-30 08:00:00-03:00,576753.0,582500.0,576501.0,580747.0,19.47958,2024-11-30 11:59:59.999000-03:00,11302651.7502,6506,10.70071,6208978.88666,2024-11-30 08:00:00-03:00,,,,,,,,,,0,0.0
2024-11-30 12:00:00-03:00,580691.0,584479.0,580479.0,584264.0,29.93844,2024-11-30 15:59:59.999000-03:00,17444207.93549,8877,14.74088,8590921.09006,2024-11-30 12:00:00-03:00,,,,,,,,,,0,0.0
2024-11-30 16:00:00-03:00,584280.0,584800.0,580634.0,581612.0,17.27443,2024-11-30 19:59:59.999000-03:00,10075246.74926,6388,7.94918,4637046.60691,2024-11-30 16:00:00-03:00,,,,,,585538.9700431725,580358.2,575177.4299568274,,0,0.0
2024-11-30 20:00:00-03:00,581612.0,582635.0,576606.0,576908.0,23.64258,2024-11-30 23:59:59.999000-03:00,13715314.1537,5232,9.54169,5537656.67969,2024-11-30 20:00:00-03:00,,,,,,585797.4005027729,580069.4,574341.3994972272,,0,0.0
2024-12-01 00:00:00-03:00,577038.0,581277.0,577038.0,580051.0,6.87147,2024-12-01 03:59:59.999000-03:00,3985345.32185,2024,3.5625,2066054.3568,2024-12-01 00:00:00-03:00,579821.4285714285,,,,,585477.5065268342,580716.4,575955.2934731658,,0,0.0
2024-12-01 04:00:00-03:00,579951.0,584500.0,579720.0,582840.0,12.46228,2024-12-01 07:59:59.999000-03:00,7264944.84667,2668,6.76773,3945592.36126,2024-12-01 04:00:00-03:00,580462.5714285715,,,,,586192.0964001095,581135.0,576077.9035998905,,0,0.0
2024-12-01 08:00:00-03:00,582973.0,586999.0,582561.0,586228.0,43.51891,2024-12-01 11:59:59.999000-03:00,25467148.00557,9194,23.35041,13664406.18007,2024-12-01 08:00:00-03:00,581807.1428571428,,,,,587682.1044318425,581527.8,575373.4955681576,,0,0.0
2024-12-01 12:00:00-03:00,586519.0,587174.0,584130.0,585538.0,36.79155,2024-12-01 15:59:59.999000-03:00,21570924.56948,8067,19.24702,11286227.28924,2024-12-01 12:00:00-03:00,582491.5714285715,,,,,589260.5893948838,582313.0,575365.4106051162,,0,0.0
2024-12-01 16:00:00-03:00,585533.0,588412.0,582375.0,586146.0,48.0747,2024-12-01 19:59:59.999000-03:00,28111019.84674,7971,22.84753,13356627.74931,2024-12-01 16:00:00-03:00,582760.4285714285,,,,,588956.0964873367,584160.6,579365.1035126633,,0,0.0
